cause_code,description
B00,All causes
B01,Intestinal infectious diseases
B010,Cholera
B011,Typhoid fever
B012,Shigellosis
B013,Food poisoning
B014,Amoebiasis
B015,Intestinal infections due to other specified organism
B016,Ill-defined intestinal infections
B019,Remainder of B01
B02,Tuberculosis
B020,Pulmonary tuberculosis
B021,Other respiratory tuberculosis
B022,Tuberculosis of meninges and central nervous system
B023,"Tuberculosis of intestines, peritoneum and mesenteric glands"
B024,Tuberculosis of bones and joints
B025,Tuberculosis of genitourinary system
B029,Remainder of B02
B03,Other bacterial diseases
B030,Plague
B031,Brucellosis
B032,Leprosy
B033,Diphtheria
B034,Whooping cough
B035,"Streptococcal sore throat, scarlatina and erysipelas"
B036,Meningococcal infection
B037,Tetanus
B038,Septicaemia
B039,Remainder of B03
B04,Viral diseases
B040,Acute poliomyelitis
B041,Smallpox
B042,Measles
B043,Rubella
B044,Yellow fever
B045,Arthropod-borne encephalitis
B046,Viral hepatitis
B047,Rabies
B048,Trachoma
B049,Remainder of B04
B05,Rickettsiosis and other arthropod-borne diseases
B050,Louse-borne typhus
B051,Other rickettsiosis
B052,Malaria
B053,Leishmaniasis
B054,Trypanosomiasis
B059,Remainder of B05
B06,Venereal diseases
B060,Syphilis
B061,Gonococcal infections
B069,Remainder of B06
B07,Other infectious and parasitic diseases and late effects of infectious and parasitic diseases
B070,Non-syphilitic spirochaetal diseases
B071,Mycosis
B072,Schistosomiasis
B073,Echinococcosis
B074,Filarial infection and dracontiasis
B075,Ancylostomiasis and necatoriasis
B076,Other helminthiasis
B077,Late effects of tuberculosis
B078,Late effects of acute poliomyelitis
B079,Remainder of B07
B08,"Malignant neoplasm of lip, oral cavity and pharynx"
B09,Malignant neoplasm of digestive organs and peritoneum
B090,Malignant neoplasm of oesophagus
B091,Malignant neoplasm of stomach
B092,"Malignant neoplasm of small intestine, including duodenum"
B093,Malignant neoplasm of colon
B094,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
B095,"Malignant neoplasm of liver, specified as primary"
B096,Malignant neoplasm of pancreas
B099,Remainder of B09
B10,Malignant neoplasm of respiratory and intrathoracic organs 160-165
B100,Malignant neoplasm of larynx
B101,"Malignant neoplasm of trachea, bronchus and lung"
B109,Remainder of B10
B11,"Malignant neoplasm of bone, connective tissue, skin and breast"
B110,Malignant neoplasm of bone and articular cartilage
B111,Malignant melanoma of skin
B112,Other malignant neoplasm of skin
B113,Malignant neoplasm of female breast
B119,Remainder of B11
B12,Malignant neoplasm of genitourinary organs
B120,Malignant neoplasm of cervix uteri
